shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIEdHzbATdU,amfam,2020-11-26 21:48,no,False,,,"b""Happy Thanksgiving! :turkey: We're celebrating by bringing you another great tip you can use to show your appreciation to the ones you love. :red_heart_selector: \n\n:blue_book: Make someone smile today by sending or dropping off a book, flowers or something fun out of the blue to someone you care about. Make it something unique to the person you\xe2\x80\x99re giving it to so they know you took the time to find something just for them.""",0,0,26,2,28,,
CH8AC_gDLAo,amfam,2020-11-23 15:00,no,False,,"mrdrewscott,jonathanscott","b'We\xe2\x80\x99re proud to announce The Scott Brothers are joining our family as our newest brand ambassadors! They design dream homes \xe2\x80\x93 and we protect them.  Welcome to the family, @MrDrewScott @JonathanScott!'",0,0,332,11,343,,
CH5bP-yjio-,amfam,2020-11-22 15:00,no,False,,jjwatt,"b'Through thick and thin, the Watt Brothers are there for each other. :blue_heart:  @jjwatt'",0,0,94,1,95,,
CHyCRBHBMt9,amfam,2020-11-19 18:07,no,False,,,"b'American Family Insurance is extending our 10% Auto Premium Relief Credit for qualifying personal auto policies for current and new customers through March 31, 2021. It\xe2\x80\x99s our way of protecting and supporting the dreams that drive you. Go to the link in our bio to learn more.'",0,0,128,14,142,,
CHxs3Z5DwZY,amfam,2020-11-19 15:00,no,False,thankfulthursday,,"b'It\xe2\x80\x99s time for another #ThankfulThursday tip! This one is simple, yet extremely effective! \n\n:pencil_selector: Yes, a handwritten letter is great, but a simple, thoughtful text can go a long way, too. :mobile_phone: Let someone know you\xe2\x80\x99re thinking of them by sending a quick message with lots of heart emojis! :red_heart_selector: :blue_heart:\n\nDo you have any tips to share with us that\xe2\x80\x99ll make people smile? :grinning_face:'",0,0,26,1,27,,
CHvIEj4sj9m,amfam,2020-11-18 15:00,no,False,,,"b'We believe businesses must stand up for \xe2\x80\x93 and with \xe2\x80\x93 our communities. Learn all about how we\xe2\x80\x99re investing in the communities where our customers, employees and agency owners live, work and raise their families in our 2019 Corporate Responsibility Report. Check it out at the link in our bio.'",0,0,131,3,134,,
CHfrTS2DtB_,amfam,2020-11-12 15:00,no,False,,,"b'From a simple thank you to a grand gesture, showing appreciation to the ones you care about is important. Not only does showing gratitude make the people around you happier, but you\xe2\x80\x99ll be happier as well! \n\nMake someone smile today by mailing a handwritten letter. Grab some fun stationary and write a letter to tell someone how much you appreciate them!'",0,0,36,3,39,,
CHdGg0RlyC1,amfam,2020-11-11 15:00,yes,False,,,"b""Today and every day, we celebrate those that sacrifice everything so we can live in a place where we are truly free to dream. Happy Veteran's Day to our operating companies, customers and all the armed forces.""",128,41.266,27,2,29,,
CHX86sUj_0l,amfam,2020-11-09 15:00,no,False,,,"b""We recognize the structural barriers in our society that keep people from reaching their dreams. We're committed to doing our part to tear down these hurdles. Go to the link in our bio to learn about our diversity and inclusion efforts in our 2019 Corporate Responsibility Report.""",0,0,108,5,113,,
CHTH7JxDGmy,amfam,2020-11-07 18:00,no,False,,,"b'Derek Watt knows the importance of family and a support system can help you reach your dreams. Lean on one another and share your aspirations with those who love you. We hope you are able to spend today with your support system \xe2\x80\x94 happy birthday, Derek!'",0,0,62,1,63,,
CHGEW46g8wH,amfam,2020-11-02 16:18,no,False,,,"b'With colder weather approaching, it\xe2\x80\x99s important to keep your pipes from freezing and possibly bursting as they thaw. Make sure to inspect your pipes as the temperature begins to drop. Head to the link in our bio for more fall maintenance tips.'",0,0,32,1,33,,
CG48glxDTPU,amfam,2020-10-28 14:00,yes,False,,,b'October is Distracted Driving Awareness Month. Remember to keep your eyes on the road and not on your phone!',370,6.0,42,3,45,,
CGupVKRDXO7,amfam,2020-10-24 14:00,no,False,,,b'Ditch the tricks and stick with the treats this Halloween. We have tons of recipes to get your family in the Halloween spirit. Click the link in our bio to discover recipes so good \xe2\x80\x94 it\xe2\x80\x99s scary.',0,0,31,3,34,,
CGpfvcBDVJD,amfam,2020-10-22 14:00,no,False,,,"b'Did you know preventable factors like speeding or distracted driving account for a large number of teen driving accidents? For National Teen Driver Safety Week, teach your teen these 5 essential steps for safer driving.'",0,0,66,2,68,,
CGniMqQJbRj,amfam,2020-10-21 19:43,no,False,,,"b'We\xe2\x80\x99re proud to pledge to be carbon neutral by 2030. Learn how we\xe2\x80\x99re taking the necessary steps and precautions to create a better future for our communities, the planet and future generations of dreamers by going to the link in our bio.'",0,0,63,5,68,,
CGm68fPDLIy,amfam,2020-10-21 14:00,no,False,,,"b""Before you cozy up next to the fireplace, make sure it's safe for the whole family to enjoy. Head to the link in our bio for fall maintenance tips for your home.""",0,0,47,1,48,,
